metric,column,n,median,mean,min,max
Context residual dTm (degC),pred_residual,38,2.66263745,2.7117328447368423,2.5668764,2.9538462
Context absolute dTm (degC),pred_abs,38,1.26263747215271,1.3117328455573638,1.1668764114379884,1.5538462162017823
Surrogate WT-centered dTm (degC),surrogate_dtm_wt_centered_cal,38,13.168597221374512,12.97843084837261,9.364412307739258,18.739887237548828
Rosetta ddG (REU),ddg_reu,38,-7.516999999999825,-36.00290350877192,-124.2063333333333,-0.5793333333333521
AF2 ranked-0 mean pLDDT,af2_ranked0_plddt_mean,38,94.19605172413793,94.19707622504536,94.04131034482758,94.35610344827585
AF2 ranked-0 key-site mean pLDDT,af2_ranked0_plddt_key_mean,38,98.1845,98.18271052631577,98.073,98.346
