metric,direction,wt_value,shortlist_mean,wt_percentile_numeric,wt_percentile_desirability,zscore_vs_shortlist
pred_residual,higher_better,1.6356493,2.7117328447368423,0.0,0.0,-9.025649684791784
pred_abs,higher_better,0.23564932346344,1.3117328455573638,0.0,0.0,-9.025649608691078
surrogate_dtm_wt_centered_cal,higher_better,1.550781362880116e-06,12.97843084837261,0.0,0.0,-6.026441844283638
ddg_reu,lower_better,0.0,-36.00290350877192,100.0,0.0,0.783083977227644
af2_ranked0_plddt_mean,higher_better,94.31789655172416,94.19707622504536,89.47368421052632,89.47368421052632,1.3580151966461895
af2_ranked0_plddt_key_mean,higher_better,98.335,98.18271052631576,94.73684210526316,94.73684210526316,2.205336733330526
af2_triad_ser160_his237,lower_better,2.837227519956763,2.819215117140631,89.47368421052632,10.526315789473683,1.2276115118410176
af2_triad_asp206_his237,lower_better,2.4966980193848034,2.502197292645889,36.84210526315789,63.1578947368421,-0.3032229916513293
af2_disulfide_203_239_dist,lower_better,1.88154643843834,1.862774166703557,100.0,0.0,1.637045669589947
af2_disulfide_273_289_dist,lower_better,2.0111501684359627,2.183634512042273,5.263157894736842,94.73684210526316,-1.69428734516581
